Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C8",CP_Radial_D6.3mm_P2.50mm,6,10u,
"C10, C11, C12, C13, C9",C_Disc_D6.0mm_W2.5mm_P5.00mm,5,100n,
"C6, C7",CP_Radial_D10.0mm_P2.50mm,2,100u,
"D1, D2, D3",LED_D3.0mm,3,LED,
"HS1, HS2",SK64,2,Heatsink,
"J1, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J20, J3, J4, J5, J6, J7, J8, J9",SPADE,20,Conn_01x01,
PS1,Converter_ACDC_MeanWell_IRM-20-xx_THT,1,IRM-20-5,
"PS2, PS3",Converter_ACDC_MeanWell_IRM-60-xx_THT,2,IRM-60-15,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,120,
"R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2.2k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,860,
U1,TO-220-3_Horizontal_TabUp,1,LT1084-12,
U2,TO-220-3_Horizontal_TabUp,1,LT1033C,
